fecha;cod_sucursal;cod_producto;disponible;segunda;remate
2019-07-28 00:00:00;10019;36992840;1;0;0
2019-07-28 00:00:00;10098;36992885;4;0;0
2019-07-28 00:00:00;10032;36992885;1;0;0
2019-07-28 00:00:00;10018;36992885;-6;0;0
2019-07-28 00:00:00;10057;36992885;1;0;0
2019-07-28 00:00:00;10099;36992885;6;0;0
2019-07-28 00:00:00;10002;36992885;0;0;0
2019-07-28 00:00:00;10028;36992885;2;0;0
2019-07-28 00:00:00;10074;36992885;0;0;0
2019-07-28 00:00:00;10088;36992885;0;0;0
2019-07-28 00:00:00;10046;36992885;0;0;0
2019-07-28 00:00:00;10037;36992885;4;0;0
2019-07-28 00:00:00;10019;36992885;3;0;0
2019-07-28 00:00:00;10085;36992885;9;0;0
2019-07-28 00:00:00;10072;36992885;0;0;0
2019-07-28 00:00:00;10076;36992885;0;0;0
2019-07-28 00:00:00;10071;36992885;0;0;0
2019-07-28 00:00:00;10041;36992885;4;0;0
2019-07-28 00:00:00;10045;36992885;3;0;0
2019-07-28 00:00:00;10029;36992885;0;0;0
2019-07-28 00:00:00;10026;36992885;0;0;0
2019-07-28 00:00:00;10068;36992885;2;0;0
2019-07-28 00:00:00;10025;36992885;8;0;0
2019-07-28 00:00:00;10078;36992885;0;0;0
2019-07-28 00:00:00;10048;36992885;-9;0;0
2019-07-28 00:00:00;10079;36992885;-1;0;0
2019-07-28 00:00:00;10012;36992885;2;0;0
2019-07-28 00:00:00;10003;36994301;0;0;0
2019-07-28 00:00:00;10019;36994872;1;0;0
2019-07-28 00:00:00;10019;36994873;4;0;0
2019-07-28 00:00:00;10019;36994874;2;0;0
2019-07-28 00:00:00;10057;36995114;40;0;0
2019-07-28 00:00:00;10057;36995115;30;0;0
2019-07-28 00:00:00;10057;36995116;34;0;0
2019-07-28 00:00:00;10057;36995117;41;0;0
2019-07-28 00:00:00;10057;36995120;1;0;0
2019-07-28 00:00:00;10019;36995550;1;0;0
2019-07-28 00:00:00;10019;36995579;1;0;0
2019-07-28 00:00:00;10019;36995649;1;0;0
2019-07-28 00:00:00;10019;36995723;1;0;0
2019-07-28 00:00:00;10069;36995885;20;0;0
2019-07-28 00:00:00;10069;36995886;16;0;0
2019-07-28 00:00:00;10069;36995888;20;0;0
2019-07-28 00:00:00;10019;36996022;1;0;0
2019-07-28 00:00:00;10019;36996357;1;0;0
2019-07-28 00:00:00;10051;36997186;1;0;0
2019-07-28 00:00:00;10019;36997956;1;0;0
2019-07-28 00:00:00;10019;36998004;1;0;0
2019-07-28 00:00:00;10046;36998967;2;0;0
2019-07-28 00:00:00;10049;36998993;0;0;0
2019-07-28 00:00:00;10019;36999724;1;0;0
2019-07-28 00:00:00;10019;36999751;1;0;0
2019-07-28 00:00:00;10019;36999757;1;0;0
2019-07-28 00:00:00;10041;37000000;0;0;0
2019-07-28 00:00:00;10049;37000000;6;0;0
2019-07-28 00:00:00;10057;37000000;1;0;0
2019-07-28 00:00:00;10028;37000000;0;0;0
2019-07-28 00:00:00;10021;37000000;5;0;0
2019-07-28 00:00:00;10048;37000000;1;0;0
2019-07-28 00:00:00;10019;37000000;1;0;0
2019-07-28 00:00:00;10088;37000000;0;0;0
2019-07-28 00:00:00;10085;37000000;-1;0;0
2019-07-28 00:00:00;10025;37000000;1;0;0
2019-07-28 00:00:00;10018;37000000;0;0;0
2019-07-28 00:00:00;10048;37000409;1;0;0
2019-07-28 00:00:00;10037;37000409;0;0;0
2019-07-28 00:00:00;10029;37000409;0;0;0
2019-07-28 00:00:00;10068;37000409;0;0;0
2019-07-28 00:00:00;10012;37000409;0;1;0
2019-07-28 00:00:00;10078;37000410;0;0;0
2019-07-28 00:00:00;10068;37000410;0;0;0
2019-07-28 00:00:00;10032;37000410;0;0;0
2019-07-28 00:00:00;10074;37000410;0;0;0
2019-07-28 00:00:00;10088;37000411;0;0;0
2019-07-28 00:00:00;10012;37000411;0;0;0
2019-07-28 00:00:00;10078;37000411;-1;0;0
2019-07-28 00:00:00;10034;37000411;1;0;0
2019-07-28 00:00:00;10037;37000413;0;0;0
2019-07-28 00:00:00;10028;37000413;0;0;0
2019-07-28 00:00:00;10078;37000413;0;0;0
2019-07-28 00:00:00;10012;37000413;0;0;0
2019-07-28 00:00:00;10034;37000413;0;0;0
2019-07-28 00:00:00;10068;37000413;0;0;0
2019-07-28 00:00:00;10049;37000937;-2;0;0
2019-07-28 00:00:00;10037;37000937;0;0;0
2019-07-28 00:00:00;10048;37000937;2;0;0
2019-07-28 00:00:00;10002;37000937;0;0;0
2019-07-28 00:00:00;10028;37000937;0;0;0
2019-07-28 00:00:00;10068;37000937;0;0;0
2019-07-28 00:00:00;10003;37000937;0;0;0
2019-07-28 00:00:00;10000;37000937;0;0;0
2019-07-28 00:00:00;10078;37000937;0;0;0
2019-07-28 00:00:00;10019;37000937;0;0;0
2019-07-28 00:00:00;10071;37000937;0;0;0
2019-07-28 00:00:00;10012;37000937;0;0;0
2019-07-28 00:00:00;10034;37000937;0;0;0
2019-07-28 00:00:00;10032;37000937;0;0;0
2019-07-28 00:00:00;10034;37000938;0;0;0
2019-07-28 00:00:00;10026;37000938;0;0;0
2019-07-28 00:00:00;10037;37000938;0;0;0
2019-07-28 00:00:00;10048;37000939;19;0;0
2019-07-28 00:00:00;10010;37000939;6;0;0
2019-07-28 00:00:00;10014;37000939;8;0;0
2019-07-28 00:00:00;10072;37000939;6;0;0
2019-07-28 00:00:00;10032;37000939;7;0;0
2019-07-28 00:00:00;10046;37000939;5;0;0
2019-07-28 00:00:00;10049;37000939;-1;0;0
2019-07-28 00:00:00;10019;37000939;10;0;0
2019-07-28 00:00:00;10084;37000939;8;0;0
2019-07-28 00:00:00;10057;37000939;12;0;0
2019-07-28 00:00:00;10028;37000939;4;0;0
2019-07-28 00:00:00;10079;37000939;3;0;0
2019-07-28 00:00:00;10071;37000939;23;0;0
2019-07-28 00:00:00;10037;37000939;28;0;0
2019-07-28 00:00:00;10045;37000939;15;0;0
2019-07-28 00:00:00;10096;37000939;16;0;0
2019-07-28 00:00:00;10078;37000939;12;0;0
2019-07-28 00:00:00;10029;37000939;6;0;0
2019-07-28 00:00:00;10012;37000939;6;3;0
2019-07-28 00:00:00;10025;37000939;7;0;0
2019-07-28 00:00:00;10003;37000939;4;0;0
2019-07-28 00:00:00;10000;37000939;0;0;0
2019-07-28 00:00:00;10026;37000939;6;0;0
2019-07-28 00:00:00;10021;37000939;2;0;0
2019-07-28 00:00:00;10098;37000939;13;0;0
2019-07-28 00:00:00;10041;37000939;10;0;0
2019-07-28 00:00:00;10016;37000939;4;0;0
2019-07-28 00:00:00;10068;37000939;2;0;0
2019-07-28 00:00:00;10076;37000939;5;0;0
2019-07-28 00:00:00;10002;37000939;3;0;0
2019-07-28 00:00:00;10099;37000939;7;0;0
2019-07-28 00:00:00;10007;37000939;14;0;0
2019-07-28 00:00:00;10034;37000939;23;0;0
2019-07-28 00:00:00;10097;37000939;6;0;0
2019-07-28 00:00:00;10069;37004653;10;0;0
2019-07-28 00:00:00;10019;37005035;0;0;0
2019-07-28 00:00:00;10012;37005035;0;0;0
2019-07-28 00:00:00;10074;37005036;0;0;0
2019-07-28 00:00:00;10048;37005036;2;0;0
2019-07-28 00:00:00;10028;37005036;0;0;0
2019-07-28 00:00:00;10057;37005036;0;0;0
2019-07-28 00:00:00;10037;37005036;0;0;0
2019-07-28 00:00:00;10002;37005070;1;0;0
2019-07-28 00:00:00;10041;37005070;2;0;0
2019-07-28 00:00:00;10032;37005070;0;0;0
2019-07-28 00:00:00;10019;37005070;-3;0;0
2019-07-28 00:00:00;10072;37005070;1;0;0
2019-07-28 00:00:00;10045;37005070;0;0;0
2019-07-28 00:00:00;10018;37005070;18;0;0
2019-07-28 00:00:00;10022;37005070;0;0;0
2019-07-28 00:00:00;10078;37005070;8;0;0
2019-07-28 00:00:00;10097;37005070;0;0;0
2019-07-28 00:00:00;10049;37005070;2;0;0
2019-07-28 00:00:00;10029;37005070;1;0;0
2019-07-28 00:00:00;10098;37005070;-3;0;0
2019-07-28 00:00:00;10084;37005070;0;0;0
2019-07-28 00:00:00;10014;37005070;4;0;0
2019-07-28 00:00:00;10076;37005070;3;0;0
2019-07-28 00:00:00;10069;37005070;1;0;0
2019-07-28 00:00:00;10025;37005070;0;0;0
2019-07-28 00:00:00;10034;37005070;0;0;0
2019-07-28 00:00:00;10099;37005070;0;0;0
2019-07-28 00:00:00;10021;37005070;0;0;0
2019-07-28 00:00:00;10048;37005070;14;0;0
2019-07-28 00:00:00;10003;37005070;0;0;0
2019-07-28 00:00:00;10051;37005070;9;0;0
2019-07-28 00:00:00;10088;37005070;0;0;0
2019-07-28 00:00:00;10057;37005070;-19;0;0
